Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Exchange
2025-03-04 00:00:00-05:00,46.30197995011231,46.30197995011231,44.29709184898242,45.10503387451172,20786800,0.0,0.0,GM,NYSE
2025-03-05 00:00:00-05:00,46.58127326470414,48.94524684242603,46.11246694910144,48.356746673583984,27954200,0.0,0.0,GM,NYSE
2025-03-06 00:00:00-05:00,47.64855238703467,48.20713004071631,46.27205976492573,47.08000183105469,14332000,0.0,0.0,GM,NYSE
2025-03-07 00:00:00-05:00,47.779998779296875,47.81999969482422,46.040000915527344,47.439998626708984,13824400,0.12,0.0,GM,NYSE
2025-03-10 00:00:00-04:00,46.810001373291016,48.18000030517578,46.77000045776367,48.08000183105469,21621600,0.0,0.0,GM,NYSE
2025-03-11 00:00:00-04:00,48.0,48.81999969482422,46.029998779296875,48.279998779296875,21879900,0.0,0.0,GM,NYSE
2025-03-12 00:00:00-04:00,48.5,48.7400016784668,46.93000030517578,47.900001525878906,10041800,0.0,0.0,GM,NYSE
2025-03-13 00:00:00-04:00,47.77000045776367,49.27000045776367,46.869998931884766,47.11000061035156,14189900,0.0,0.0,GM,NYSE
2025-03-14 00:00:00-04:00,47.790000915527344,48.75,47.63999938964844,48.34000015258789,14143900,0.0,0.0,GM,NYSE
2025-03-17 00:00:00-04:00,48.5099983215332,49.27000045776367,48.279998779296875,49.0,14102400,0.0,0.0,GM,NYSE
2025-03-18 00:00:00-04:00,49.349998474121094,49.83000183105469,48.189998626708984,48.66999816894531,19265400,0.0,0.0,GM,NYSE
2025-03-19 00:00:00-04:00,48.83000183105469,50.209999084472656,48.70000076293945,49.790000915527344,13291600,0.0,0.0,GM,NYSE
2025-03-20 00:00:00-04:00,48.810001373291016,49.97999954223633,48.75,49.439998626708984,12906900,0.0,0.0,GM,NYSE
2025-03-21 00:00:00-04:00,48.97999954223633,50.040000915527344,48.7400016784668,49.79999923706055,37624900,0.0,0.0,GM,NYSE
